,Snelheid,Omvang1,Positie1,Omvang2,Positie2,Relatie,Speed
232,4.0,60.0,-75.0,30.0,45.0,-30.0,4.002629416755264
233,4.0,60.0,-60.0,30.0,-15.0,60.0,4.002652994597471
234,4.0,60.0,30.0,45.0,75.0,45.0,5.419046424723684
235,4.0,60.0,30.0,75.0,30.0,-45.0,4.786785206956766
236,4.0,75.0,-90.0,0.0,-60.0,0.0,3.428503754321305
237,4.0,75.0,-60.0,75.0,60.0,-60.0,4.446591696630422
238,4.0,75.0,-45.0,15.0,-90.0,-45.0,1.995656144819065
239,4.0,75.0,-45.0,45.0,75.0,-15.0,3.161849382899388
240,4.0,75.0,-30.0,75.0,30.0,-60.0,4.854492323818531
241,4.0,75.0,-15.0,60.0,-30.0,0.0,4.577380683409807
242,4.0,75.0,-15.0,60.0,60.0,-30.0,4.7200495611045605
243,4.0,75.0,-15.0,75.0,-45.0,-30.0,4.9180823891911825
244,4.0,75.0,15.0,15.0,-45.0,-60.0,4.270825299594411
245,4.0,75.0,15.0,15.0,30.0,-90.0,3.000129511496067
246,4.0,75.0,45.0,60.0,75.0,-90.0,4.716496353280123
247,4.0,75.0,75.0,15.0,-45.0,0.0,2.7137971691645886
248,5.0,0.0,-60.0,30.0,-75.0,75.0,1.7722550191787285
249,5.0,0.0,-30.0,45.0,-45.0,15.0,2.7809287508901788
250,5.0,0.0,-15.0,15.0,45.0,-30.0,2.3615423362223025
251,5.0,0.0,0.0,45.0,-45.0,-45.0,0.895202438104947
252,5.0,0.0,75.0,45.0,60.0,45.0,1.720946914611399
253,5.0,15.0,-90.0,15.0,-15.0,-75.0,2.7195674889123764
254,5.0,15.0,-75.0,15.0,0.0,0.0,1.9343701059347125
255,5.0,15.0,-75.0,30.0,-30.0,15.0,2.9221035249961367
256,5.0,15.0,-45.0,15.0,-60.0,-45.0,1.8317140361630622
257,5.0,15.0,-30.0,15.0,0.0,15.0,3.2795146539457773
258,5.0,15.0,-30.0,75.0,75.0,15.0,4.253494131503404
259,5.0,15.0,0.0,75.0,-90.0,15.0,3.1293781269856717
260,5.0,15.0,15.0,30.0,15.0,45.0,2.6057733610193425
261,5.0,15.0,60.0,60.0,45.0,-75.0,4.5869418171645675
262,5.0,15.0,75.0,60.0,75.0,15.0,2.272603308154926
263,5.0,30.0,-30.0,0.0,-75.0,-75.0,2.5601964769012824
264,5.0,30.0,15.0,45.0,-75.0,-90.0,3.2304608017709677
265,5.0,30.0,30.0,30.0,60.0,-45.0,3.2543967836917878
266,5.0,30.0,45.0,15.0,-15.0,-15.0,3.390831040275672
267,5.0,30.0,45.0,45.0,30.0,15.0,2.519109953422537
268,5.0,45.0,-75.0,75.0,-15.0,0.0,5.912942875798999
269,5.0,45.0,-15.0,45.0,-30.0,45.0,3.3130653925555635
270,5.0,45.0,-15.0,75.0,-75.0,15.0,4.512341799592781
271,5.0,45.0,15.0,60.0,-30.0,45.0,2.995463588194977
272,5.0,45.0,60.0,60.0,45.0,-60.0,4.286304914932222
273,5.0,45.0,75.0,15.0,-15.0,-30.0,2.1736792509302707
274,5.0,60.0,-75.0,0.0,-30.0,-15.0,2.7189759741797874
275,5.0,60.0,-75.0,45.0,60.0,15.0,4.324652864762214
276,5.0,60.0,-45.0,60.0,-75.0,-45.0,3.4671627466025257
277,5.0,60.0,-30.0,60.0,-15.0,15.0,4.580522458619636
278,5.0,60.0,-15.0,45.0,-90.0,-90.0,4.00096612538957
279,5.0,60.0,15.0,15.0,75.0,75.0,4.5634565708680315
280,5.0,60.0,15.0,45.0,0.0,-75.0,4.890839674399716
281,5.0,60.0,30.0,45.0,60.0,15.0,3.9374617512224495
282,5.0,60.0,60.0,60.0,-60.0,-30.0,5.373188173043208
283,5.0,60.0,75.0,0.0,45.0,-90.0,3.289446961197782
284,5.0,75.0,-90.0,0.0,-60.0,30.0,3.9775285858838787
285,5.0,75.0,-75.0,30.0,60.0,-15.0,5.934959973805536
286,5.0,75.0,-75.0,75.0,-75.0,-45.0,6.027869988284076
287,5.0,75.0,-60.0,75.0,-15.0,60.0,5.777501215390082
288,5.0,75.0,-45.0,0.0,75.0,75.0,4.466308369642789
289,5.0,75.0,-15.0,30.0,45.0,30.0,4.368601927125163
290,5.0,75.0,15.0,75.0,60.0,-90.0,5.070937199070703
291,5.0,75.0,60.0,15.0,75.0,-45.0,4.4509219322241815
292,5.0,75.0,75.0,30.0,-15.0,-60.0,4.426199335459533
293,6.0,0.0,-90.0,60.0,75.0,15.0,3.770018497377207
294,6.0,0.0,-75.0,30.0,45.0,45.0,3.1367260901508422
295,6.0,0.0,-30.0,15.0,-15.0,-15.0,1.8332820081922339
296,6.0,0.0,-15.0,45.0,-15.0,0.0,4.735854693018527
297,6.0,0.0,-15.0,75.0,60.0,30.0,2.5297369806644605
298,6.0,0.0,15.0,60.0,15.0,15.0,3.5984318236903126
299,6.0,0.0,30.0,15.0,-45.0,-90.0,1.356756921540737
300,6.0,0.0,30.0,30.0,-30.0,75.0,1.6243235157567522
301,6.0,0.0,60.0,0.0,-15.0,60.0,1.3608037162398365
302,6.0,0.0,75.0,15.0,-90.0,45.0,1.1069812573496118
303,6.0,0.0,75.0,75.0,60.0,-15.0,3.788618024684033
304,6.0,15.0,-75.0,15.0,45.0,60.0,3.465447399394903
305,6.0,15.0,-75.0,30.0,0.0,-30.0,3.9926452727378523
306,6.0,15.0,-45.0,75.0,-15.0,-90.0,4.914541401555757
307,6.0,15.0,-30.0,75.0,-45.0,-90.0,5.122748773656676
308,6.0,30.0,-75.0,0.0,-75.0,60.0,2.5511719629093697
309,6.0,30.0,-45.0,75.0,45.0,30.0,3.5402513720341853
310,6.0,30.0,-30.0,0.0,-30.0,60.0,2.263870476871355
311,6.0,30.0,-30.0,15.0,75.0,-75.0,3.99107507677941
312,6.0,30.0,-30.0,45.0,15.0,60.0,5.049533762152521
313,6.0,30.0,-15.0,75.0,45.0,-75.0,3.5980705900188297
314,6.0,30.0,0.0,45.0,15.0,-90.0,4.604334169855443
315,6.0,30.0,60.0,30.0,-45.0,-45.0,3.553254731428879
316,6.0,30.0,60.0,45.0,-15.0,-75.0,3.6351875580436164
317,6.0,30.0,60.0,60.0,-15.0,-15.0,4.112668657609733
318,6.0,45.0,-75.0,75.0,30.0,60.0,5.872733096317305
319,6.0,45.0,-60.0,30.0,30.0,-90.0,6.513766012689723
320,6.0,45.0,-45.0,45.0,-45.0,-15.0,6.693650021533995
321,6.0,45.0,-45.0,60.0,-30.0,-15.0,6.46719201993096
322,6.0,45.0,-30.0,30.0,-90.0,-15.0,3.122995226462505
323,6.0,45.0,-15.0,75.0,30.0,-90.0,6.360583736549387
324,6.0,45.0,0.0,75.0,-60.0,-60.0,5.415550584705186
325,6.0,45.0,60.0,15.0,15.0,0.0,3.017645087572056
326,6.0,45.0,60.0,30.0,-75.0,-75.0,2.770857749808726
327,6.0,45.0,75.0,0.0,-60.0,-15.0,2.2842378858571797
328,6.0,60.0,-90.0,0.0,-15.0,-15.0,4.036172671884395
329,6.0,60.0,-90.0,75.0,-90.0,60.0,6.752405774373625
330,6.0,60.0,-60.0,45.0,0.0,-15.0,3.2964701831441445
331,6.0,60.0,-60.0,60.0,-90.0,-60.0,5.382447166293188
332,6.0,60.0,-45.0,75.0,30.0,30.0,5.026440312332477
333,6.0,60.0,-15.0,0.0,-30.0,-30.0,2.7523239905508237
334,6.0,60.0,0.0,15.0,0.0,0.0,3.936631509434428
335,6.0,60.0,15.0,0.0,60.0,60.0,5.033809118932313
336,6.0,60.0,60.0,30.0,30.0,15.0,4.975775878439
337,6.0,60.0,75.0,45.0,15.0,15.0,5.586664717669683
338,6.0,75.0,-75.0,60.0,-45.0,75.0,4.00729190975199
339,6.0,75.0,-60.0,30.0,-60.0,75.0,3.392569338051988
340,6.0,75.0,-60.0,30.0,15.0,75.0,4.039034544809509
341,6.0,75.0,-60.0,60.0,-90.0,-75.0,5.182201921583979
342,6.0,75.0,-45.0,15.0,-15.0,-15.0,4.521056942236408
343,6.0,75.0,-30.0,0.0,-15.0,-15.0,2.576373810068146
344,6.0,75.0,0.0,0.0,75.0,-75.0,4.706442986772374
345,6.0,75.0,15.0,45.0,-90.0,60.0,4.139402383841509
346,6.0,75.0,45.0,45.0,45.0,45.0,4.808892951976685
347,6.0,75.0,45.0,75.0,-15.0,-45.0,6.99557692490181
348,6.0,75.0,75.0,60.0,-45.0,75.0,4.925500691951558
