['12:03:10.209', '[7. 4.]']
['12:03:10.236', '[6. 4.]']
['12:03:10.262', '[6. 4.]']
['12:03:10.292', '[6. 4.]']
['12:03:10.313', '[7. 4.]']
['12:03:10.337', '[6. 4.]']
['12:03:10.360', '[6. 4.]']
['12:03:10.384', '[6. 4.]']
['12:03:10.409', '[6. 4.]']
['12:03:10.444', '[6. 4.]']
['12:03:10.458', '[6. 4.]']
['12:03:10.486', '[6. 4.]']
['12:03:10.510', '[6. 4.]']
['12:03:10.535', '[6. 4.]']
['12:03:10.560', '[6. 4.]']
['12:03:10.586', '[6. 5.]']
['12:03:10.609', '[6. 4.]']
['12:03:10.632', '[6. 5.]']
['12:03:10.657', '[6. 4.]']
['12:03:10.683', '[6. 4.]']
['12:03:10.710', '[6. 4.]']
['12:03:10.736', '[6. 4.]']
['12:03:10.758', '[6. 4.]']
['12:03:10.784', '[6. 4.]']
['12:03:10.807', '[6. 4.]']
['12:03:10.832', '[6. 4.]']
['12:03:10.858', '[7. 5.]']
['12:03:10.884', '[6. 4.]']
['12:03:10.908', '[6. 4.]']
['12:03:10.934', '[6. 4.]']
['12:03:10.959', '[6. 4.]']
['12:03:10.981', '[6. 4.]']
['12:03:11.009', '[6. 4.]']
['12:03:11.033', '[6. 4.]']
['12:03:11.058', '[6. 4.]']
['12:03:11.084', '[6. 4.]']
['12:03:11.108', '[6. 4.]']
['12:03:11.133', '[6. 4.]']
['12:03:11.157', '[6. 4.]']
['12:03:11.181', '[6. 5.]']
['12:03:11.208', '[6. 4.]']
['12:03:11.232', '[6. 4.]']
['12:03:11.256', '[6. 4.]']
['12:03:11.284', '[6. 4.]']
['12:03:11.308', '[6. 5.]']
['12:03:11.332', '[6. 4.]']
['12:03:11.358', '[6. 4.]']
['12:03:11.384', '[6. 4.]']
['12:03:11.408', '[6. 4.]']
['12:03:11.433', '[6. 4.]']
['12:03:11.456', '[6. 4.]']
['12:03:11.481', '[6. 4.]']
['12:03:11.509', '[6. 5.]']
['12:03:11.534', '[6. 4.]']
['12:03:11.558', '[6. 4.]']
['12:03:11.581', '[6. 4.]']
['12:03:11.610', '[6. 4.]']
['12:03:11.633', '[6. 5.]']
['12:03:11.658', '[6. 4.]']
['12:03:11.695', '[6. 4.]']
['12:03:11.709', '[6. 4.]']
['12:03:11.732', '[6. 4.]']
['12:03:11.759', '[6. 4.]']
['12:03:11.782', '[6. 4.]']
['12:03:11.809', '[6. 4.]']
['12:03:11.833', '[6. 4.]']
['12:03:11.858', '[6. 4.]']
['12:03:11.884', '[6. 4.]']
['12:03:11.908', '[6. 4.]']
['12:03:11.932', '[6. 4.]']
['12:03:11.956', '[6. 4.]']
['12:03:11.997', '[6. 4.]']
['12:03:12.024', '[6. 4.]']
['12:03:12.043', '[6. 4.]']
['12:03:12.057', '[6. 4.]']
['12:03:12.084', '[6. 4.]']
['12:03:12.108', '[6. 5.]']
['12:03:12.134', '[6. 4.]']
['12:03:12.157', '[7. 4.]']
