['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['12:08:50.979', '0.6', '[32, 0]', '[-26, -22]', '[23.0]']
['12:08:51.202', '0.6', '[32, 63]', '[-26, -22]', '[23.0]']
['12:08:51.420', '0.6', '[32, 63]', '[-26, 23]', '[23.0]']
['12:08:51.580', '0.6', '[32, 63]', '[-26, 23]', '[-53.0]']
['12:08:59.802', '0.1', '[32, 63]', '[-26, 23]', '[-53.0]']
['12:09:00.244', '0.1', '[32, 63]', '[-74, 23]', '[-53.0]']
['12:09:00.619', '0.1', '[32, 63]', '[-74, 9]', '[-53.0]']
['12:09:00.813', '0.1', '[32, 63]', '[-74, 9]', '[54.0]']
['12:09:09.022', '0.7', '[32, 63]', '[-74, 9]', '[54.0]']
['12:09:09.441', '0.7', '[32, 63]', '[8, 9]', '[54.0]']
['12:09:09.840', '0.7', '[32, 63]', '[8, -37]', '[54.0]']
['12:09:10.041', '0.7', '[32, 63]', '[8, -37]', '[-7.0]']
['12:09:18.263', '0.3', '[32, 63]', '[8, -37]', '[-7.0]']
['12:09:18.468', '0.3', '[16, 63]', '[8, -37]', '[-7.0]']
['12:09:18.667', '0.3', '[16, 63]', '[-40, -37]', '[-7.0]']
['12:09:18.870', '0.3', '[16, 0]', '[-40, -37]', '[-7.0]']
['12:09:19.071', '0.3', '[16, 0]', '[-40, -36]', '[-7.0]']
['12:09:19.289', '0.3', '[16, 0]', '[-40, -36]', '[-82.0]']
['12:09:27.492', '0.1', '[16, 0]', '[-40, -36]', '[-82.0]']
['12:09:27.697', '0.1', '[32, 0]', '[-40, -36]', '[-82.0]']
['12:09:27.898', '0.1', '[32, 0]', '[72, -36]', '[-82.0]']
['12:09:28.116', '0.1', '[32, 78]', '[72, -36]', '[-82.0]']
['12:09:28.315', '0.1', '[32, 78]', '[72, 56]', '[-82.0]']
['12:09:36.718', '0.7', '[32, 78]', '[72, 56]', '[-82.0]']
['12:09:36.932', '0.7', '[48, 78]', '[72, 56]', '[-82.0]']
['12:09:37.137', '0.7', '[48, 78]', '[87, 56]', '[-82.0]']
['12:09:37.558', '0.7', '[48, 78]', '[87, -35]', '[-82.0]']
['12:09:37.759', '0.7', '[48, 78]', '[87, -35]', '[-52.0]']
['12:09:45.957', '0.1', '[48, 78]', '[87, -35]', '[-52.0]']
['12:09:46.359', '0.1', '[48, 78]', '[-74, -35]', '[-52.0]']
['12:09:46.557', '0.1', '[48, 31]', '[-74, -35]', '[-52.0]']
['12:09:46.762', '0.1', '[48, 31]', '[-74, -34]', '[-52.0]']
['12:09:46.985', '0.1', '[48, 31]', '[-74, -34]', '[-36.0]']
['12:09:55.184', '0.5', '[48, 31]', '[-74, -34]', '[-36.0]']
['12:09:55.386', '0.5', '[64, 31]', '[-74, -34]', '[-36.0]']
['12:09:55.583', '0.5', '[64, 31]', '[87, -34]', '[-36.0]']
['12:09:55.791', '0.5', '[64, 46]', '[87, -34]', '[-36.0]']
['12:09:55.993', '0.5', '[64, 46]', '[87, 27]', '[-36.0]']
['12:09:56.197', '0.5', '[64, 46]', '[87, 27]', '[-66.0]']
['12:10:04.454', '0.4', '[64, 46]', '[87, 27]', '[-66.0]']
['12:10:04.833', '0.4', '[64, 46]', '[38, 27]', '[-66.0]']
['12:10:05.021', '0.4', '[64, 15]', '[38, 27]', '[-66.0]']
['12:10:05.232', '0.4', '[64, 15]', '[38, -18]', '[-66.0]']
['12:10:05.457', '0.4', '[64, 15]', '[38, -18]', '[72.0]']
['12:10:13.677', '0.8', '[64, 15]', '[38, -18]', '[72.0]']
['12:10:13.843', '0.8', '[32, 15]', '[38, -18]', '[72.0]']
['12:10:14.046', '0.8', '[32, 15]', '[54, -18]', '[72.0]']
['12:10:14.304', '0.8', '[32, 62]', '[54, -18]', '[72.0]']
['12:10:14.722', '0.8', '[32, 62]', '[54, -18]', '[-5.0]']
['12:10:22.882', '0.0', '[32, 62]', '[54, -18]', '[-5.0]']
['12:10:23.126', '0.0', '[80, 62]', '[54, -18]', '[-5.0]']
['12:10:23.298', '0.0', '[80, 62]', '[37, -18]', '[-5.0]']
['12:10:23.526', '0.0', '[80, 0]', '[37, -18]', '[-5.0]']
['12:10:23.698', '0.0', '[80, 0]', '[37, -34]', '[-5.0]']
['12:10:23.902', '0.0', '[80, 0]', '[37, -34]', '[40.0]']
['12:10:32.118', '0.2', '[80, 0]', '[37, -34]', '[40.0]']
['12:10:32.321', '0.2', '[48, 0]', '[37, -34]', '[40.0]']
['12:10:32.522', '0.2', '[48, 0]', '[-59, -34]', '[40.0]']
['12:10:32.746', '0.2', '[48, 16]', '[-59, -34]', '[40.0]']
['12:10:33.146', '0.2', '[48, 16]', '[-59, -34]', '[-52.0]']
['12:10:41.342', '0.6', '[48, 16]', '[-59, -34]', '[-52.0]']
['12:10:41.745', '0.6', '[48, 16]', '[21, -34]', '[-52.0]']
['12:10:41.949', '0.6', '[48, 63]', '[21, -34]', '[-52.0]']
['12:10:42.188', '0.6', '[48, 63]', '[21, 12]', '[-52.0]']
['12:10:42.371', '0.6', '[48, 63]', '[21, 12]', '[-21.0]']
['12:10:50.566', '0.3', '[48, 63]', '[21, 12]', '[-21.0]']
['12:10:50.771', '0.3', '[0, 63]', '[21, 12]', '[-21.0]']
['12:10:51.011', '0.3', '[0, 63]', '[-11, 12]', '[-21.0]']
['12:10:51.407', '0.3', '[0, 63]', '[-11, 87]', '[-21.0]']
['12:10:51.606', '0.3', '[0, 63]', '[-11, 87]', '[10.0]']
['12:10:59.833', '0.0', '[0, 63]', '[-11, 87]', '[10.0]']
['12:11:00.060', '0.0', '[32, 63]', '[-11, 87]', '[10.0]']
['12:11:00.214', '0.0', '[32, 63]', '[-75, 87]', '[10.0]']
['12:11:00.417', '0.0', '[32, 16]', '[-75, 87]', '[10.0]']
['12:11:00.635', '0.0', '[32, 16]', '[-75, 86]', '[10.0]']
['12:11:00.832', '0.0', '[32, 16]', '[-75, 86]', '[-36.0]']
['12:11:09.239', '0.0', '[64, 16]', '[-75, 86]', '[-36.0]']
['12:11:09.443', '0.0', '[64, 16]', '[38, 86]', '[-36.0]']
['12:11:09.646', '0.0', '[64, 79]', '[38, 86]', '[-36.0]']
['12:11:09.879', '0.0', '[64, 79]', '[38, -6]', '[-36.0]']
['12:11:10.088', '0.0', '[64, 79]', '[38, -6]', '[11.0]']
['12:11:18.299', '0.7', '[64, 79]', '[38, -6]', '[11.0]']
['12:11:18.487', '0.7', '[48, 79]', '[38, -6]', '[11.0]']
['12:11:18.690', '0.7', '[48, 79]', '[-75, -6]', '[11.0]']
['12:11:18.893', '0.7', '[48, 1]', '[-75, -6]', '[11.0]']
['12:11:19.097', '0.7', '[48, 1]', '[-75, 39]', '[11.0]']
['12:11:19.354', '0.7', '[48, 1]', '[-75, 39]', '[86.0]']
['12:11:27.522', '0.6', '[48, 1]', '[-75, 39]', '[86.0]']
['12:11:27.748', '0.6', '[16, 1]', '[-75, 39]', '[86.0]']
['12:11:28.348', '0.6', '[16, 1]', '[-75, -82]', '[86.0]']
['12:11:28.600', '0.6', '[16, 1]', '[-75, -82]', '[-67.0]']
['12:11:36.744', '0.1', '[16, 1]', '[-75, -82]', '[-67.0]']
['12:11:36.944', '0.1', '[48, 1]', '[-75, -82]', '[-67.0]']
['12:11:37.145', '0.1', '[48, 1]', '[55, -82]', '[-67.0]']
['12:11:37.572', '0.1', '[48, 1]', '[55, 24]', '[-67.0]']
['12:11:37.772', '0.1', '[48, 1]', '[55, 24]', '[71.0]']
['12:11:45.974', '0.4', '[48, 1]', '[55, 24]', '[71.0]']
['12:11:46.189', '0.4', '[16, 1]', '[55, 24]', '[71.0]']
['12:11:46.391', '0.4', '[16, 1]', '[70, 24]', '[71.0]']
['12:11:46.591', '0.4', '[16, 48]', '[70, 24]', '[71.0]']
['12:11:46.794', '0.4', '[16, 48]', '[70, 70]', '[71.0]']
['12:11:46.991', '0.4', '[16, 48]', '[70, 70]', '[-52.0]']
['12:11:55.200', '0.5', '[16, 48]', '[70, 70]', '[-52.0]']
['12:11:55.617', '0.5', '[16, 48]', '[6, 70]', '[-52.0]']
['12:11:55.816', '0.5', '[16, 33]', '[6, 70]', '[-52.0]']
['12:11:56.017', '0.5', '[16, 33]', '[6, 9]', '[-52.0]']
['12:12:04.439', '0.9', '[16, 33]', '[6, 9]', '[-52.0]']
['12:12:04.640', '0.9', '[64, 33]', '[6, 9]', '[-52.0]']
['12:12:04.860', '0.9', '[64, 33]', '[-75, 9]', '[-52.0]']
['12:12:05.064', '0.9', '[64, 2]', '[-75, 9]', '[-52.0]']
['12:12:05.264', '0.9', '[64, 2]', '[-75, 54]', '[-52.0]']
