['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['10:25:49.060', '0.0', '[0, 0.0]', '[-1, 0]', '[0.0]']
['10:25:49.097', '0.0', '[0, 0.0]', '[-2, 0]', '[0.0]']
['10:25:49.106', '0.0', '[0, 0.0]', '[-3, 0]', '[0.0]']
['10:25:49.119', '0.0', '[0, 0.0]', '[-4, 0]', '[0.0]']
['10:25:49.144', '0.0', '[0, 0.0]', '[-10, 0]', '[0.0]']
['10:25:49.147', '0.0', '[0, 0.0]', '[-11, 0]', '[0.0]']
['10:25:49.148', '0.0', '[0, 0.0]', '[-12, 0]', '[0.0]']
['10:25:49.152', '0.0', '[0, 0.0]', '[-13, 0]', '[0.0]']
['10:25:49.154', '0.0', '[0, 0.0]', '[-14, 0]', '[0.0]']
['10:25:49.155', '0.0', '[0, 0.0]', '[-15, 0]', '[0.0]']
['10:25:49.158', '0.0', '[0, 0.0]', '[-17, 0]', '[0.0]']
['10:25:49.162', '0.0', '[0, 0.0]', '[-18, 0]', '[0.0]']
['10:25:49.165', '0.0', '[0, 0.0]', '[-19, 0]', '[0.0]']
['10:25:49.168', '0.0', '[0, 0.0]', '[-20, 0]', '[0.0]']
['10:25:49.199', '0.0', '[0, 0.0]', '[-22, 0]', '[0.0]']
['10:25:49.199', '0.0', '[0, 0.0]', '[-29, 0]', '[0.0]']
['10:25:49.201', '0.0', '[0, 0.0]', '[-30, 0]', '[0.0]']
['10:25:49.203', '0.0', '[0, 0.0]', '[-31, 0]', '[0.0]']
['10:25:49.205', '0.0', '[0, 0.0]', '[-32, 0]', '[0.0]']
['10:25:49.208', '0.0', '[0, 0.0]', '[-33, 0]', '[0.0]']
['10:25:49.211', '0.0', '[0, 0.0]', '[-34, 0]', '[0.0]']
['10:25:49.212', '0.0', '[0, 0.0]', '[-35, 0]', '[0.0]']
['10:25:49.214', '0.0', '[0, 0.0]', '[-37, 0]', '[0.0]']
['10:25:49.215', '0.0', '[0, 0.0]', '[-38, 0]', '[0.0]']
['10:25:49.601', '0.0', '[0, 0.0]', '[-40, 0]', '[0.0]']
['10:25:49.973', '0.0', '[0, 0.0]', '[-90, 0]', '[0.0]']
['10:25:50.975', '0.0', '[0, 0.0]', '[-90, 0]', '[-4.0]']
['10:25:50.976', '0.0', '[0, 0.0]', '[-90, 0]', '[-5.0]']
['10:25:50.978', '0.0', '[0, 0.0]', '[-90, 0]', '[-7.0]']
['10:25:50.979', '0.0', '[0, 0.0]', '[-90, 0]', '[-8.0]']
['10:25:50.981', '0.0', '[0, 0.0]', '[-90, 0]', '[-9.0]']
['10:25:50.985', '0.0', '[0, 0.0]', '[-90, 0]', '[-10.0]']
['10:25:50.988', '0.0', '[0, 0.0]', '[-90, 0]', '[-11.0]']
['10:25:50.992', '0.0', '[0, 0.0]', '[-90, 0]', '[-13.0]']
['10:25:50.993', '0.0', '[0, 0.0]', '[-90, 0]', '[-14.0]']
['10:25:51.021', '0.0', '[0, 0.0]', '[-90, 0]', '[-43.0]']
['10:25:51.023', '0.0', '[0, 0.0]', '[-90, 0]', '[-48.0]']
['10:25:51.024', '0.0', '[0, 0.0]', '[-90, 0]', '[-50.0]']
['10:25:51.025', '0.0', '[0, 0.0]', '[-90, 0]', '[-52.0]']
['10:25:51.027', '0.0', '[0, 0.0]', '[-90, 0]', '[-53.0]']
['10:25:51.028', '0.0', '[0, 0.0]', '[-90, 0]', '[-55.0]']
['10:25:51.029', '0.0', '[0, 0.0]', '[-90, 0]', '[-56.0]']
['10:25:51.030', '0.0', '[0, 0.0]', '[-90, 0]', '[-58.0]']
['10:25:51.032', '0.0', '[0, 0.0]', '[-90, 0]', '[-62.0]']
['10:25:51.033', '0.0', '[0, 0.0]', '[-90, 0]', '[-64.0]']
['10:25:51.034', '0.0', '[0, 0.0]', '[-90, 0]', '[-66.0]']
['10:25:51.424', '0.0', '[0, 0.0]', '[-90, 0]', '[-70.0]']
['10:25:51.769', '0.0', '[0, 0.0]', '[-90, 0]', '[-90.0]']
['10:25:52.523', '0.0', '[0, 0.0]', '[-90, -1]', '[-90.0]']
['10:25:52.530', '0.0', '[0, 0.0]', '[-90, -3]', '[-90.0]']
['10:25:52.537', '0.0', '[0, 0.0]', '[-90, -4]', '[-90.0]']
['10:25:52.569', '0.0', '[0, 0.0]', '[-90, -7]', '[-90.0]']
['10:25:52.575', '0.0', '[0, 0.0]', '[-90, -8]', '[-90.0]']
['10:25:52.579', '0.0', '[0, 0.0]', '[-90, -9]', '[-90.0]']
['10:25:52.584', '0.0', '[0, 0.0]', '[-90, -10]', '[-90.0]']
['10:25:52.586', '0.0', '[0, 0.0]', '[-90, -11]', '[-90.0]']
