['timestamp', 'frequency', 'amplitudes', 'offsets', 'phase_biases']
['12:44:30.888', '0.1', '[0, 61]', '[-8, -37]', '[66.0]']
['12:44:31.130', '0.1', '[0, 61]', '[9, -37]', '[66.0]']
['12:44:31.326', '0.1', '[0, 45]', '[9, -37]', '[66.0]']
['12:44:31.530', '0.1', '[0, 45]', '[9, -67]', '[66.0]']
['12:44:31.732', '0.1', '[0, 45]', '[9, -67]', '[80.0]']
['12:44:40.154', '0.1', '[80, 45]', '[9, -67]', '[80.0]']
['12:44:40.351', '0.1', '[80, 45]', '[24, -67]', '[80.0]']
['12:44:40.530', '0.1', '[80, 14]', '[24, -67]', '[80.0]']
['12:44:40.735', '0.1', '[80, 14]', '[24, -5]', '[80.0]']
['12:44:40.938', '0.1', '[80, 14]', '[24, -5]', '[-42.0]']
['12:44:49.174', '0.7', '[80, 14]', '[24, -5]', '[-42.0]']
['12:44:49.372', '0.7', '[0, 14]', '[24, -5]', '[-42.0]']
['12:44:49.572', '0.7', '[0, 14]', '[56, -5]', '[-42.0]']
['12:44:49.974', '0.7', '[0, 14]', '[56, 25]', '[-42.0]']
['12:44:50.173', '0.7', '[0, 14]', '[56, 25]', '[-56.0]']
['12:44:58.393', '0.0', '[0, 14]', '[56, 25]', '[-56.0]']
['12:44:58.797', '0.0', '[0, 14]', '[-9, 25]', '[-56.0]']
['12:44:59.212', '0.0', '[0, 14]', '[-9, -66]', '[-56.0]']
['12:44:59.412', '0.0', '[0, 14]', '[-9, -66]', '[20.0]']
['12:45:07.619', '0.5', '[0, 14]', '[-9, -66]', '[20.0]']
['12:45:07.822', '0.5', '[48, 14]', '[-9, -66]', '[20.0]']
['12:45:08.032', '0.5', '[48, 14]', '[-40, -66]', '[20.0]']
['12:45:08.233', '0.5', '[48, 30]', '[-40, -66]', '[20.0]']
['12:45:08.440', '0.5', '[48, 30]', '[-40, -4]', '[20.0]']
['12:45:08.638', '0.5', '[48, 30]', '[-40, -4]', '[-56.0]']
['12:45:16.880', '0.3', '[48, 30]', '[-40, -4]', '[-56.0]']
['12:45:17.057', '0.3', '[0, 30]', '[-40, -4]', '[-56.0]']
['12:45:17.256', '0.3', '[0, 30]', '[9, -4]', '[-56.0]']
['12:45:17.460', '0.3', '[0, 14]', '[9, -4]', '[-56.0]']
['12:45:17.670', '0.3', '[0, 14]', '[9, -50]', '[-56.0]']
['12:45:17.883', '0.3', '[0, 14]', '[9, -50]', '[51.0]']
['12:45:26.106', '0.4', '[0, 14]', '[9, -50]', '[51.0]']
['12:45:26.309', '0.4', '[16, 14]', '[9, -50]', '[51.0]']
['12:45:26.496', '0.4', '[16, 14]', '[-56, -50]', '[51.0]']
['12:45:26.706', '0.4', '[16, 61]', '[-56, -50]', '[51.0]']
['12:45:26.903', '0.4', '[16, 61]', '[-56, -65]', '[51.0]']
['12:45:27.108', '0.4', '[16, 61]', '[-56, -65]', '[-85.0]']
['12:45:35.552', '0.4', '[0, 61]', '[-56, -65]', '[-85.0]']
['12:45:35.750', '0.4', '[0, 61]', '[-8, -65]', '[-85.0]']
['12:45:35.950', '0.4', '[0, 76]', '[-8, -65]', '[-85.0]']
['12:45:36.153', '0.4', '[0, 76]', '[-8, -64]', '[-85.0]']
['12:45:36.372', '0.4', '[0, 76]', '[-8, -64]', '[36.0]']
['12:45:44.552', '0.0', '[0, 76]', '[-8, -64]', '[36.0]']
['12:45:44.772', '0.0', '[64, 76]', '[-8, -64]', '[36.0]']
['12:45:44.998', '0.0', '[64, 76]', '[-39, -64]', '[36.0]']
['12:45:45.171', '0.0', '[64, 29]', '[-39, -64]', '[36.0]']
['12:45:45.415', '0.0', '[64, 29]', '[-39, -2]', '[36.0]']
['12:45:45.599', '0.0', '[64, 29]', '[-39, -2]', '[-40.0]']
['12:45:53.813', '0.9', '[64, 29]', '[-39, -2]', '[-40.0]']
['12:45:53.993', '0.9', '[16, 29]', '[-39, -2]', '[-40.0]']
['12:45:54.197', '0.9', '[16, 29]', '[10, -2]', '[-40.0]']
['12:45:54.413', '0.9', '[16, 76]', '[10, -2]', '[-40.0]']
['12:45:54.618', '0.9', '[16, 76]', '[10, -17]', '[-40.0]']
['12:45:54.810', '0.9', '[16, 76]', '[10, -17]', '[7.0]']
['12:46:03.040', '0.6', '[16, 76]', '[10, -17]', '[7.0]']
['12:46:03.312', '0.6', '[48, 76]', '[10, -17]', '[7.0]']
['12:46:03.433', '0.6', '[48, 76]', '[-23, -17]', '[7.0]']
['12:46:03.639', '0.6', '[48, 0]', '[-23, -17]', '[7.0]']
['12:46:03.840', '0.6', '[48, 0]', '[-23, -63]', '[7.0]']
['12:46:04.046', '0.6', '[48, 0]', '[-23, -63]', '[52.0]']
['12:46:12.261', '0.2', '[48, 0]', '[-23, -63]', '[52.0]']
['12:46:12.480', '0.2', '[16, 0]', '[-23, -63]', '[52.0]']
['12:46:12.868', '0.2', '[16, 47]', '[-23, -63]', '[52.0]']
['12:46:13.083', '0.2', '[16, 47]', '[-23, 29]', '[52.0]']
['12:46:13.280', '0.2', '[16, 47]', '[-23, 29]', '[82.0]']
['12:46:21.502', '0.0', '[16, 47]', '[-23, 29]', '[82.0]']
['12:46:21.687', '0.0', '[32, 47]', '[-23, 29]', '[82.0]']
['12:46:21.907', '0.0', '[32, 47]', '[57, 29]', '[82.0]']
['12:46:22.094', '0.0', '[32, 78]', '[57, 29]', '[82.0]']
['12:46:22.307', '0.0', '[32, 78]', '[57, -16]', '[82.0]']
['12:46:22.504', '0.0', '[32, 78]', '[57, -16]', '[-25.0]']
['12:46:30.710', '0.2', '[32, 78]', '[57, -16]', '[-25.0]']
['12:46:30.914', '0.2', '[80, 78]', '[57, -16]', '[-25.0]']
['12:46:31.120', '0.2', '[80, 78]', '[9, -16]', '[-25.0]']
['12:46:31.575', '0.2', '[80, 78]', '[9, -62]', '[-25.0]']
['12:46:31.732', '0.2', '[80, 78]', '[9, -62]', '[-10.0]']
['12:46:39.939', '0.8', '[80, 78]', '[9, -62]', '[-10.0]']
['12:46:40.141', '0.8', '[48, 78]', '[9, -62]', '[-10.0]']
['12:46:40.347', '0.8', '[48, 78]', '[56, -62]', '[-10.0]']
['12:46:40.568', '0.8', '[48, 31]', '[56, -62]', '[-10.0]']
['12:46:40.768', '0.8', '[48, 31]', '[56, 60]', '[-10.0]']
['12:46:40.968', '0.8', '[48, 31]', '[56, 60]', '[20.0]']
['12:46:49.188', '0.2', '[48, 31]', '[56, 60]', '[20.0]']
