Angles_0,Angles_1,freq,amp_1,amp_2,offset_1,offset_2,phase,Potentials_0,Potentials_1,Speed
45.13,8.81,0.7,48,79,87,5,39.0,36.,-7.,6.699752962947573
-72.94,-51.68,0.7,79,33,-88,-37,-38.0,-25.,-57.,6.688822447258316
-95.76,-43.,0.9,64,78,-40,48,-30.0,-87.,-40.,6.673157048321757
120.04,15.23,0.9,64,45,59,6,70.0,96.,33.,6.671356982584004
-15.97,1.39,0.9,31,78,-71,51,-24.0,2.,57.,6.664393382399743
-13.53,25.57,0.6,48,46,-37,-40,-8.0,4.,35.,6.662185353446052
34.41,-44.66,0.8,48,80,38,-53,-24.0,27.,-31.,6.657532067090555
-35.51,1.63,0.0,47,63,-8,56,22.0,-38.,-6.,6.651022694458278
86.37,81.16,0.8,79,0,55,85,72.0,96.,85.,6.645740479429111
27.91,-98.44,0.8,31,77,44,-55,85.0,42.,-77.,6.634858867946362
-84.68,-13.34,0.8,47,46,-56,36,-51.0,-86.,-8.,6.622066575543628
-30.33,-163.05,0.8,15,79,-22,-81,71.0,-21.,-42.,6.599352331734783
-42.94,141.96,0.9,47,64,-87,83,-9.0,-39.,95.,6.5935215933166536
-71.63,-129.88,0.8,79,47,-6,-80,55.0,-50.,-89.,6.592236221027061
-53.29,-20.78,0.6,47,64,-9,-7,85.0,-45.,-29.,6.590215478347062
-6.52,49.4,0.5,63,17,23,79,83.0,9.,50.,6.5857846479727415
-40.46,95.79,0.6,64,78,-71,51,8.0,-51.,84.,6.577569600183315
95.5,81.88,0.6,79,64,23,39,-54.0,95.,105.,6.57620612042362
91.48,81.74,0.8,79,0,55,85,72.0,86.,85.,6.575182602954517
20.14,71.48,0.5,15,16,-23,8,22.0,57.,117.,6.556425275816062
-36.99,-57.23,0.9,48,63,-41,9,37.0,-21.,-54.,6.552709390462269
112.11,20.33,0.7,64,48,56,-18,39.0,95.,22.,6.550933956887188
58.26,12.07,0.8,64,79,-6,20,84.0,62.,54.,6.549364413800659
-58.99,76.5,0.8,79,1,24,86,-8.0,-52.,79.,6.546741126476819
-20.79,-10.7,0.4,64,63,-42,-69,-54.0,-11.,-10.,6.543564266195832
-14.35,-72.81,0.6,47,64,-9,-7,85.0,2.,-66.,6.532069621506775
7.12,31.22,0.5,80,34,-11,51,35.0,23.,38.,6.5285588561787895
-40.04,-132.41,0.4,48,63,-20,-86,-22.0,-43.,92.,6.527974239551048
72.05,5.26,0.9,64,48,57,56,87.0,122.,13.,6.527333817439386
52.15,3.2,0.6,79,64,23,39,-54.0,40.,-6.,6.513096815397597
-22.44,44.72,0.8,16,79,-23,-37,-69.0,-15.,36.,6.511111608235095
32.92,87.21,0.8,64,34,-25,88,-55.0,27.,74.,6.508935015880955
-31.68,-34.55,0.7,79,33,-88,-37,-38.0,-6.,-41.,6.503866308000404
13.64,39.22,0.0,47,64,88,39,-69.0,8.,44.,6.495851726945205
-58.13,16.34,0.8,16,78,-41,78,-90.0,-53.,86.,6.491968710258771
36.93,36.74,0.4,16,16,-89,5,-7.0,35.,30.,6.478472979926213
47.25,43.8,0.9,31,79,45,-20,73.0,41.,31.,6.475885202908911
101.98,28.63,0.9,48,64,70,37,-54.0,125.,11.,6.461658414930643
-131.38,95.43,0.5,80,79,-73,55,83.0,89.,82.,6.45303194463687
26.22,84.38,0.6,32,47,-25,18,71.0,25.,119.,6.441383716721579
-42.33,-11.11,0.5,15,46,-74,35,-49.0,-42.,10.,6.4369399803204495
2.52,-45.56,0.2,31,31,-25,-6,86.0,10.,-38.,6.425399995609041
11.58,-8.43,0.7,15,15,55,-86,73.0,12.,4.,6.4252803458376935
-153.92,12.94,0.9,79,0,-77,19,-83.0,-18.,14.,6.4250496703545545
9.15,2.62,0.9,48,65,-25,-3,67.0,36.,22.,6.424650234096193
59.66,62.07,0.8,79,1,24,86,-8.0,85.,62.,6.421282594525172
-110.15,-11.25,0.5,48,78,-71,66,-52.0,-88.,-2.,6.410437073086956
-9.71,80.58,0.6,32,63,-26,23,-53.0,35.,109.,6.407354337108962
19.06,81.49,0.6,79,1,8,87,-69.0,39.,82.,6.402073899613257
-68.92,36.91,0.8,48,30,-76,80,69.0,-26.,79.,6.397277508606586
-11.34,-108.51,0.4,16,79,7,-70,67.0,-3.,-88.,6.396250840683051
129.81,5.19,0.8,48,64,86,-52,-7.0,96.,1.,6.382761860477415
66.44,31.91,0.8,64,48,23,21,20.0,83.,49.,6.382289815536352
10.61,64.98,0.9,48,63,-41,9,37.0,11.,67.,6.379608069299102
55.64,57.73,0.6,48,63,56,8,82.0,71.,58.,6.37808603014902
50.86,-23.92,0.7,63,46,-4,-40,40.0,61.,-7.,6.375710429128345
-13.79,36.21,0.3,79,63,61,86,73.0,-13.,58.,6.368251773901491
-76.48,83.18,0.1,31,60,9,-53,-10.0,-62.,92.,6.362098428299308
-72.7,-25.47,0.5,0,65,42,-25,54.0,-47.,-15.,6.360772418172386
-45.97,45.35,0.5,80,33,-69,24,-71.0,-50.,36.,6.357871038432397
-8.72,37.26,0.4,79,64,-8,65,-23.0,-14.,29.,6.336597917954954
-42.62,-100.92,0.8,16,79,-23,-37,-69.0,-39.,-78.,6.328916608567732
-48.66,-80.49,0.5,79,81,-58,-12,66.0,-28.,-71.,6.326534838683409
-37.02,77.05,0.8,47,46,-56,36,-51.0,-20.,80.,6.31403802521823
29.73,-29.22,0.9,64,45,59,6,70.0,76.,-23.,6.312947245091201
7.41,53.98,0.1,31,33,-41,85,-20.0,8.,89.,6.3125569040942136
-42.64,-60.65,0.8,80,18,23,-51,-38.0,-21.,-50.,6.310239039057403
19.49,-19.49,0.9,48,64,70,37,-54.0,23.,-3.,6.306745470429567
-113.5,82.34,0.8,48,30,-76,80,69.0,-86.,71.,6.301678094920108
-33.12,81.32,0.9,64,78,-71,51,8.0,-14.,95.,6.293444287672714
-83.36,56.63,0.4,79,47,-38,81,-9.0,-70.,66.,6.291322625873071
79.74,118.34,0.5,80,78,26,66,-85.0,94.,93.,6.283422570452745
-60.07,29.23,0.8,16,32,-72,53,-84.0,-62.,20.,6.281134589318499
-1.35,12.03,0.9,64,47,-40,-13,62.0,3.,28.,6.273323737357716
-74.5,-0.85,0.9,48,63,-41,9,37.0,-54.,-19.,6.27187567566202
0.93,31.51,0.3,0,15,58,-56,7.0,4.,34.,6.262973703275449
29.94,-162.45,0.9,79,79,86,-86,-66.0,42.,-57.,6.260117502288872
-47.15,-110.12,0.5,16,16,-90,-6,10.0,-37.,-89.,6.253881013178073
-102.08,24.82,0.6,47,32,-54,39,-84.0,-87.,34.,6.239858400437896
-0.89,-25.65,0.7,32,63,8,-37,-7.0,23.,-10.,6.238818917454756
-44.86,-19.87,0.3,48,78,7,85,86.0,-35.,-21.,6.23708288800722
26.64,-72.77,0.8,0,47,-28,-68,10.0,34.,-62.,6.23534197662749
-57.99,-29.72,0.8,63,32,8,-10,65.0,-50.,-37.,6.2334005677306585
