['12:03:08.232', '[-3. -4.]']
['12:03:08.256', '[-3. -4.]']
['12:03:08.282', '[-3. -4.]']
['12:03:08.307', '[-3. -4.]']
['12:03:08.334', '[-3. -4.]']
['12:03:08.358', '[-3. -4.]']
['12:03:08.384', '[-3. -4.]']
['12:03:08.409', '[-3. -4.]']
['12:03:08.433', '[-3. -4.]']
['12:03:08.457', '[-3. -4.]']
['12:03:08.482', '[-3. -4.]']
['12:03:08.509', '[-3. -4.]']
['12:03:08.534', '[-3. -4.]']
['12:03:08.559', '[-3. -4.]']
['12:03:08.583', '[-3. -4.]']
['12:03:08.608', '[-3. -4.]']
['12:03:08.631', '[-3. -4.]']
['12:03:08.656', '[-3. -4.]']
['12:03:08.684', '[-3. -4.]']
['12:03:08.706', '[-3. -4.]']
['12:03:08.733', '[-3. -4.]']
['12:03:08.759', '[-3. -4.]']
['12:03:08.786', '[-3. -4.]']
['12:03:08.809', '[-3. -4.]']
['12:03:08.832', '[-3. -4.]']
['12:03:08.858', '[-3. -4.]']
['12:03:08.882', '[-3. -4.]']
['12:03:08.908', '[-3. -4.]']
['12:03:08.931', '[-3. -4.]']
['12:03:08.957', '[-3. -4.]']
['12:03:08.982', '[-3. -4.]']
['12:03:09.007', '[-3. -4.]']
['12:03:09.043', '[-3. -4.]']
['12:03:09.071', '[-3. -4.]']
['12:03:09.093', '[-3. -4.]']
['12:03:09.110', '[-3. -4.]']
['12:03:09.143', '[-3. -4.]']
['12:03:09.170', '[-3. -4.]']
['12:03:09.193', '[-3. -4.]']
['12:03:09.220', '[-3. -4.]']
['12:03:09.237', '[-3. -4.]']
['12:03:09.271', '[-3. -4.]']
['12:03:09.299', '[-3. -4.]']
['12:03:09.323', '[-3. -4.]']
['12:03:09.347', '[-3. -4.]']
['12:03:09.367', '[-3. -4.]']
['12:03:09.386', '[-3. -4.]']
['12:03:09.414', '[-3. -4.]']
['12:03:09.443', '[-3. -4.]']
['12:03:09.463', '[-3. -4.]']
['12:03:09.498', '[-3. -4.]']
['12:03:09.521', '[-3. -4.]']
['12:03:09.545', '[-3. -4.]']
['12:03:09.564', '[-3. -4.]']
['12:03:09.588', '[-3. -4.]']
